scene_number,location,description,cast_id,costume_notes,hair_makeup,prosthetics,key_props,props,set_dressing,extras,picture_vechiles,production,special_professionals,sfx,vfx,special_equipments,notes,timeofday,int_ext
1,LONDON / CITY ESTABLISHMENTS,"EXT. LONDON / CITY ESTABLISHMENTS - MORNING
1
Wide establishment shot of London City, 3 static shots 
capturing the busy vibrance of the city, people commuting to 
work, people buying breakfast on streets and a busy subway.
",[],[],[],,,,,,,,,,,,,MORNING,EXT
2,LONDON / WATERLOO STATION,"INT. LONDON / WATERLOO STATION - MORNING
2
A train just arrives at the station, doors open and people 
walk out of the train with coffee mugs and news papers, 30 
year old Ketan, in a black suit, quickly makes his way out of 
the crowd and walks briskly towards an escalator, and 
continues his quick walk on the moving escalator, camera 
follows.
",['ketan'],['ketan'],['ketan'],,,,,,,,,,,,,MORNING,INT
3,LONDON / BOOK STORE,"EXT. LONDON / BOOK STORE - MORNING
3
Ketan walks quickly into a street, finally arrives at a book 
store, stands still looking at the poster stuck on to the 
glass, it reads, ‘Top selling book - JERSEY’. Ketan pushes 
the door to enter the book shop.
KETAN (V.O.)
Kahaniyan jab kitaabon mein chhap 
jaati hain, toh unka mol badh jaata 
hai...phir wo kisi ki personal 
story nahin rehti, har padhne wala 
usmein shayad apni hi kahani 
dhoondta hai 
",['ketan'],['ketan'],['ketan'],,,,,,,,,,,,,MORNING,EXT
4,LONDON / BOOK STORE,"INT. LONDON / BOOK STORE - MORNING
4
Big duplex book store, looks vibrant and colorful, as Ketan 
stands inside with the background of reading lamps and desks, 
he arrives at a standee, only one book of JERSEY is left on 
the standee, he picks it up slowly, looks at the cover page; 
Smiling face of Arjun with title ‘JERSEY’ in yellow font 
written on top of it, Author: JASLEEN SHERGILL. Ketan holds 
the book for a moment lost in thoughts, and walks towards the 
cash counter, he hands it over to the person at the counter 
for billing.
A 22 year old Riya pushes the door of the book store, which 
has a bell and makes a sound every time a customer comes 
inside. Riya runs inside the shop, looks around, and goes to 
the empty stand of ‘Jersey’. She looks disappointed, and the 
chimes bell sound is heard again with 22 year old Harpreet 
rushing into the store with a similar pace of Riya earlier,
HARPREET
Is it available?
FOR AD TEAM
2.
Riya with a disappointed look, moves her head as ‘NO’.
Harpreet who is standing next to the counter, comes near the 
counter to enquire about the book,
HARPREET (CONT'D)
Do you have more copies of Jersey?
Lady at the counter, shows the book in her hand
BOOKSTORE LADY
Sorry! I just sold the last copy..
HARPREET 
Chal phir hum baad mein aate hain
RIYA
No point now. Late kardiya tune
Lady at the counter hands over the book to Ketan, Ketan and 
Riya exchange a look
RIYA (CONT'D)
Online order karungi toh bhi do din 
lagenge. Aur wait karna padega 
yaar.
HARPREET
Aisi kya jaldi ho rahi hai padhne 
ki? Why’re you so pissed? 
","['ketan', 'jasleen', 'arjun']","['ketan', 'jasleen', 'arjun']","['ketan', 'jasleen', 'arjun']",,,,,,,,,,,,,MORNING,INT
5,LONDON / BOOK STORE,"EXT. LONDON / BOOK STORE - MORNING
5
While they are lost in their conversation, suddenly Ketan 
comes overtaking them, stands in front of them. 
KETAN
Excuse me, Hi! I guess you were 
looking for this book
HARPREET
(to Ketan)
Oh hello? What were you doing? 
Stalking us? (to Riya) what next? 
he’ll ask for our number
RIYA
Harpreet wait...
Not sure how to react, Ketan keeps the book in Riya’s hand, 
points a finger towards the cover page and says,
2.
FOR AD TEAM
3.
KETAN
Mere papa... my dad
Harpreet becomes silent and Riya is in shock, Ketan looks at 
them and says,
KETAN (CONT'D)
Inki kahani aap tak pahunchegi toh, 
I’ll be more than happy
Ketan gives a smile and starts walking away. Riya and 
Harpreet are left speechless.
",['ketan'],['ketan'],['ketan'],,,,,,,,,,,,,MORNING,EXT
6,LONDON / STREETS,"EXT. LONDON / STREETS - MORNING
6
Ketan walking happily, he gets a call and starts speaking 
over the phone. 
KETAN
Congratulations! Aap toh chha gaye. 
Aapki book, yahan sab jagah sold 
out hai!
JASLEEN (V.O.)
Thanks Ketan! Aaj saare news 
channels yehi story cover kar rahe 
hain! Achha sun, ICB (Indian 
Cricket Board) se call aayega tujhe
KETAN
ICB..?
JASLEEN (V.O.)
Unki call se pehle, main bata dun 
good news! Arjun ki felicitation 
ceremony rakhi hai unhone, next 
saturday, Chandigarh mein. Sabne 
hona hi hona hai wahan.
KETAN
Ofcouse! aana hi hai. Thank you, 
thanks a lot
JASLEEN (V.O.)
Theek hai phir! See you soon! 
Ketan hangs up the phone, turns around to see, Riya and 
Harpreet next to him.
RIYA
Is Arjun really your dad? 
3.
FOR AD TEAM
4.
Ketan smiles with a brisk head nod, loud crowd cheer comes in 
background- ‘Arjun….Arjun…’
","['ketan', 'jasleen', 'arjun']","['ketan', 'jasleen', 'arjun']","['ketan', 'jasleen', 'arjun']",,,,,,,,,,,,,MORNING,EXT
7,STADIUM / TUNNEL,"EXT. STADIUM / TUNNEL - MORNING
7
Tunnel pathway into the cricket ground, dimly lit with 
beaming sunlight on the end, silhouette shot of a batsman 
moving the bat in full circles as warm up, swoosh sound is 
heard for every circle,
Text on screen: ’NORTH ZONE VS SOUTH ZONE, DULEEP TROPHY 
FINALS, 1986.’
Camera starts moving along with the batsman to the end of the 
tunnel, suction sound is heard all through in the tunnel,
KETAN (V.O.)
2 triple centuries, 9 double 
centuries, 56 hundreds, 115 half-
centuries
The batsman comes into sunlight in a white jersey,
KETAN (V.O.)
Best batsman of his time. My dad… 
Arjun Talwar
Camera moves along with the batsman taking stairs, cheers of 
a girl’s voice is heard very loud,
VIDHYA
Come on Arjun.. 
A 22 year old Vidhya is fully charged up to see Arjun. 
KETAN (V.O.)
Dad ki sabse badi fan! Meri mom... 
Vidhya..
Vidhya screams - 
VIDHYA
(screaming)
Arjun I love you..
Batsman turns to look around the ground, camera too moves 
semi-circle to capture his point of view, almost filled 
stadium. Loud cheer for Arjun. 
BG music changes - SUPER: ‘10 years later - 1996’
4.
FOR AD TEAM
5.
Arjun freezes in frame as the same pose turns to a picture on 
a News paper article on the wall, “Miracle Batsman Arjun 
scores a double ton again”.
","['ketan', 'vidhya', 'arjun']","['ketan', 'vidhya', 'arjun']","['ketan', 'vidhya', 'arjun']",,,,,,,,,,,,,MORNING,EXT
8,ARJUN HOUSE / HALL,"INT. ARJUN HOUSE / HALL - MORNING
8
Close shot of a framed newspaper article about Arjun’s past 
victory. Back shot of camera, revealing more news paper 
cuttings, cups, trophies, medals, victory pictures.
As the camera moves further back a hall of tightly packed 
middle class house is revealed. House looks more like an old 
government quarter with yellow paint on the walls and bloated 
moisture patches seen every where. Camera comes over a sofa 
and reveals three people sleeping on two sofas. Arjun is 
sleeping with his son Kittu on him and a shawl over them, his 
legs on the table. Vidhya is sleeping on the opposite Sofa 
with a blanket on top of her.
All his past glory and victories on the wall and Arjun 
sleeping with his family in a small apartment on sofa. Insert 
of: shoe rack with three different types of shoes; Arjun’s 
man of the match trophy; A handmade birthday card reading 
‘Happy Birthday Mummy’; A calendar with Guru Nanak’s picture; 
the dripping ceiling; Vidhya’s hotel tag kept next to her 
make up stuff on her dressing table; shot of the mandir 
setup.
 Title appears on the screen – “JERSEY”.
- CUT TO -
","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']",,,,,,,,,,,,,MORNING,INT
9,ARJUN HOUSE / BEDROOM,"INT. ARJUN HOUSE / BEDROOM - MORNING
9
A view from the corner of the bed, with steel bowls placed 
all over the bed to catch the dripping water from the 
ceiling. Through the door all three sleeping in the hall are 
visible. Alarm sound is heard from the hall.
",['arjun'],['arjun'],['arjun'],,,,,,,,,,,,,MORNING,INT
10,ARJUN HOUSE / HALL,"INT. ARJUN HOUSE / HALL - MORNING
10
Kittu wakes up in Arjun’s lap, stretches his hands to switch 
off the Alarm, looks at his dad, tries to wake him up but 
Arjun is in deep sleep.
KITTU
Papa, papa
Kittu gets up from there, walks towards the bathroom, half-
asleep. After a moment, he looks at the steel mug filled with 
the dripping rain water, he has a naughty smile on his face. 
5.
FOR AD TEAM
6.
He picks up the mug and walks back to the sofa. He looks at 
Arjun sleeping. In a bid to throw water on Arjun and wake him 
up, but to his surprise Arjun shouts a loud ‘boo!’; and grabs 
Kittu who shouts and laughs with that. The mug falls and 
makes a loud sound. 
Vidhya gets disturbed by the sound and wakes up with a start. 
VIDHYA
(exasperated)
Babu, kya subah subah tum dono? 8 
baje ki shift hai meri
The kid continues to giggle. Arjun quietens him. 
VIDHYA (CONT'D)
Ek ghanta toh chayn se sone do 
yaar. Shhh! Kittu! please shor 
nahin
","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']","['vidhya', 'kittu', 'arjun']",,,,,,,,,,,,,MORNING,INT
